"date","year","week","case.uk","death.uk","case.sa","death.sa","case.br","death.br","case.in","death.in","mob.bus.uk","mob.full.uk","mob.bus.sa","mob.full.sa","mob.bus.br","mob.full.br","mob.bus.in","mob.full.in"
2021-01-17,2021,3,3813.35577947615,128.124461383179,1318.74367796646,62.0066015795545,1687.87886705142,33.4075666068208,69.6239509041995,0.768006667284382,-54.3809523809524,-29.5238095238095,-36.6428571428571,-23.9404761904762,-18.9761904761905,-13.2619047619048,-15.0952380952381,-5.15476190476191
2021-01-24,2021,4,2618.92028978325,120.837831642083,739.432471213398,56.2439681800041,1685.66384584963,35.0478038258715,66.085351170524,0.674259374564223,-54.3095238095238,-29.8571428571429,-30.4047619047619,-19.3452380952381,-17.452380952381,-12.0595238095238,-13.5714285714286,-3.08333333333333
2021-01-31,2021,5,1960.89510660442,95.605860244846,407.448160365893,37.1240169005713,1262.6088154283,28.4541436660976,57.8269358148989,0.520658041107346,-52.5714285714286,-27.3571428571429,-24.5952380952381,-15.6190476190476,-16.1666666666667,-10.8809523809524,-12.3809523809524,-3.72619047619048
2021-02-07,2021,6,1426.11219626996,70.6084684771014,272.525925771219,27.3308711233008,1694.39308552252,39.7114982549675,56.6644693851689,0.465851931517099,-53.3333333333333,-28.5595238095238,-23.952380952381,-16,-14.3333333333333,-10.1190476190476,-11.1904761904762,-2.66666666666667
2021-02-14,2021,7,1151.91793184746,50.683861197122,204.923240890368,18.6369559944995,1539.27150578922,34.7907865978151,62.5301653773672,0.47594779381004,-51.3809523809524,-24.6428571428571,-21.2857142857143,-15.5833333333333,-18.4285714285714,-11.7261904761905,-9.16666666666667,-0.726190476190476
2021-02-21,2021,8,950.69259342383,34.3072708132096,164.185086857708,16.6716648351152,1766.80184822678,38.524545965398,75.7766578387257,0.540128632672302,-47.2619047619048,-18.9285714285714,-18.3095238095238,-13.6190476190476,-16.2142857142857,-11.6904761904762,-9.14285714285714,-0.726190476190476
2021-02-28,2021,9,627.852378335422,25.1293428093339,132.923633415639,11.7584369366547,1970.17257122703,47.2164013142141,82.2582014307933,0.508398779751633,-46,-19.3333333333333,-11.952380952381,-7.57142857142857,-20.0238095238095,-13.6666666666667,-7.71428571428571,0.357142857142857
2021-03-07,2021,10,593.442478934309,15.3209820511983,136.70432064598,10.226176032728,2339.89419030641,59.7074385977548,106.907249219007,0.613684200806581,-43.8571428571429,-18.8809523809524,-16.4761904761905,-12.0952380952381,-23.047619047619,-15.3333333333333,-9.33333333333333,0.142857142857143
2021-03-14,2021,11,549.077606506629,9.64708726285979,139.685567404707,13.673763066563,2387.46106965888,73.1330839833186,173.131057929548,0.827860708021099,-41.7380952380952,-16.1428571428571,-15.0952380952381,-11.3928571428571,-27.547619047619,-18.4047619047619,-6.95238095238095,1.11904761904762
2021-03-21,2021,12,555.792448400838,6.61221330630663,127.660650310847,9.42673556111411,2522.98859053327,83.1707749990482,268.617723496177,1.29587603860097,-40.7142857142857,-14.047619047619,-17.2619047619048,-11.2261904761905,-29.2142857142857,-19.5595238095238,-5.80952380952381,2.63095238095238
